1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
17640.69,17107.6,16897.56,16790.24,16708.22,16650.17,16616.89,16608.61,16584.56,16567.44,16565.83,16556.95,16544.5,16536.86,16537.06,16535.1,16531.67,16530.03,16531.76,16528.33,16530.17,16527.47,16526.26,16524.97,16524.32,16525.31,16523.8,16524.49,16524.45,16523.79,16523.69,16523.58,16522.06,16523.53,16523.46,16523.26,16522.32,16524.58,16522.62,16522.95,16523.25,16522.7,16521.89,16521.88,16522.1,16521.88,16523.06,16523.28,16522.35,16524.36,16523.07,16523.4,16523.15,16522.28,16523.39,16520.52,16524.7,16521.74,16522.17,16523.32,16522.68,16523.19,16524.06,16521.3,16523.56,16522.29,16523.39,16522.94,16522.27,16521.77,16522.19,16524.87,16521.82,16523.72,16521.89,16521.84,16524.26,16523.38,16522.64,16521.83,16523.76,16522.22,16522.94,16522.21,16523.86,16522.23,16523.01,16523.82,16522.16,16522.06,16523.85,16521.89,16523.3,16523.65,16520.7,16523.01,16524.11,16522.13,16522.63,16522.39
18801.21,17927.57,17654.38,17466.94,17311.01,17210.92,17128.41,17061.2,17000.38,16954.28,16923.17,16876.2,16822.19,16792.08,16762.65,16748.17,16731.5,16717.71,16708.01,16688.63,16686.1,16689.01,16674.76,16659.55,16646.13,16635.51,16634.15,16628.43,16630.04,16628.03,16626.95,16619.52,16613.37,16607.99,16603.22,16596.71,16590.96,16588.46,16585.49,16579.13,16575.94,16575.68,16570.18,16571.64,16566.53,16566.64,16564.05,16561.84,16562.71,16558.96,16563.29,16560.85,16560.4,16561.71,16560.11,16558.49,16557.08,16553.27,16552.12,16547.96,16544.7,16543.01,16543.39,16542.63,16541.19,16544.4,16545.34,16542.41,16542.31,16541.62,16540.86,16538.98,16539.39,16538.78,16537.62,16538.11,16538.44,16539.89,16538.2,16538.7,16537.9,16537.04,16535.11,16535.65,16534.44,16533,16532.62,16532.15,16533.16,16535.28,16535.38,16531.65,16531.96,16532.43,16531.62,16532.15,16531.22,16531.58,16532.34,16531.08
19523.46,18747.61,18432.96,18208.93,18062.48,17946.01,17839.91,17750.43,17678.52,17602.12,17539.86,17478.77,17436.14,17386.24,17339.17,17299.94,17269.62,17243.66,17223.05,17195.95,17168.96,17136.85,17104.82,17070.47,17045.8,17027.32,16999.89,16984.35,16965.73,16950.12,16939.37,16926.33,16912.62,16901.64,16889.93,16880.25,16868.19,16861.37,16850.69,16843.17,16834.33,16825.57,16821.84,16821.91,16816.36,16810.29,16807.04,16799.64,16794.49,16787.16,16781.61,16778.46,16774.66,16770.12,16771.07,16770.16,16764.64,16760.28,16762.18,16762.3,16762.36,16758.81,16753.72,16750.61,16745.85,16742.33,16738.6,16733.84,16730.89,16728.47,16728.29,16723.1,16719.05,16717.56,16712.03,16710.31,16707.01,16703.23,16700.25,16696.8,16692.93,16689.06,16688.25,16685.45,16681.92,16682.57,16679.16,16678.75,16677.52,16671.15,16671.68,16669.29,16669.64,16665.91,16667.11,16666.91,16661.89,16657.22,16656.72,16653.44
20040.09,19573.8,19346.77,19202.06,19065.79,18949.79,18846.29,18770.72,18698.47,18640.13,18572.1,18495.59,18443.94,18389.5,18347.46,18312.2,18264.29,18225.45,18184.91,18140.16,18103.37,18070.07,18032,17996.99,17961.81,17939.89,17908.4,17887.38,17856.51,17833.15,17812.36,17789.02,17768.12,17745.4,17728.97,17716.44,17697.95,17691.06,17666.1,17648.27,17621.86,17597.88,17583.47,17570.88,17567.43,17561.52,17543.94,17516.84,17494.45,17473.64,17466.84,17454.06,17435.33,17427.98,17404.82,17381.14,17361.41,17347.05,17334.22,17333.05,17322.21,17307.18,17293.32,17280.26,17273,17276.04,17261.85,17256.6,17241.75,17231.73,17225.63,17207.42,17190.87,17177.95,17158.5,17152.69,17144.84,17138.68,17123.35,17119.46,17101.09,17095.28,17093.7,17087.24,17081.45,17082.34,17075.8,17072.79,17069.53,17067.52,17069.87,17059.56,17056.68,17054.53,17050.29,17045.63,17035.95,17045.48,17036.36,17023.38
20225.22,19951.39,19789.86,19692.88,19620.23,19560.23,19493.43,19431.36,19348.14,19315.15,19273.1,19224.8,19160.71,19139.65,19100.17,19087.33,19078.29,19067.18,19016.68,18965.16,18932.75,18892.92,18871.76,18834.39,18796.53,18760.86,18755.99,18731.77,18725.34,18689.07,18679.97,18661.49,18617.14,18598.42,18573.73,18556.86,18531.04,18520.16,18507.99,18475.87,18462.69,18435.67,18418.48,18401.25,18388.9,18388.19,18353.72,18324.44,18311.73,18299.01,18267.78,18227.16,18233.59,18201.06,18204.84,18191.45,18164.37,18145.02,18142.05,18147.53,18131.35,18113.99,18114.7,18094.4,18088.95,18077.5,18075.65,18052.24,18053.06,18040.47,18028.96,18003.81,18022.37,18014.96,18018.28,17981.71,17959.13,17947.69,17941.45,17931.6,17936.56,17900.53,17889.73,17878.5,17883.54,17894.4,17902.74,17890.8,17902.27,17875.53,17848.03,17825.51,17808.6,17815.27,17802.82,17791.3,17784.31,17779.6,17742.42,17735.04
26336,25931.96,16993.57,16936.08,16311.24,15817.97,15542.97,15309.64,15130.47,15005.32,14966.24,14929.35,14926.16,14859.59,14852.5,14852.93,14853.23,14859.39,14856.22,14848.01,14844.17,14846.82,14848.35,14845.77,14848.06,14839.35,14844.32,14847.75,14850.11,14850.12,14845.91,14847.5,14847.54,14846.83,14845.09,14848.33,14847.99,14847.03,14841.45,14842.86,14847.34,14849.47,14850.14,14848.28,14847.43,14846.29,14847.49,14846.98,14847.34,14847.06,14847.5,14846.26,14847.31,14842.55,14842.63,14846.07,14848.03,14850.26,14850.38,14849.57,14846.97,14848.08,14847.01,14846.62,14847.95,14848.24,14846.9,14847.7,14848.15,14840.41,14844.52,14846.6,14849.35,14849.48,14850.26,14846.65,14848.67,14846.52,14847.17,14847.53,14848.49,14846.4,14846.85,14849,14842.36,14842.75,14846.01,14848.35,14850.52,14851.62,14847.47,14847.13,14848.65,14846.22,14848.35,14848.99,14847.33,14846.29,14848.06,14847.16
19829.56,19013.67,17415.78,16705.97,16253.58,15989.5,15834.9,15721.3,15532.93,15375.11,15276.58,15219.98,15184.72,15140.25,15097.17,15003.85,14930.01,14882.41,14851.19,14819.91,14804.43,14797.26,14785.24,14773.78,14762.89,14761.02,14752.92,14752.62,14749.83,14751.48,14751.12,14749.24,14752.41,14750.6,14747.85,14750.6,14748.83,14749.99,14749.12,14750.76,14749.7,14750.02,14751.14,14750.25,14749.89,14750.05,14749.24,14749.99,14750.38,14750.7,14751.05,14749.56,14750.17,14750.27,14751.22,14750.83,14751.42,14751.01,14748.98,14750.31,14750.41,14750.88,14750.62,14748.96,14748.77,14749.32,14751.29,14749.53,14748.61,14751.64,14748.88,14750.44,14749.62,14749.17,14749,14749.65,14751.11,14750.24,14750.18,14750.79,14750.71,14750.09,14749.83,14750.75,14749.7,14749.89,14749.31,14749.84,14750.34,14750.27,14749.67,14749.91,14751.7,14747.95,14749.96,14749.95,14751.34,14748.59,14749.51,14751.47
18794.4,17955.57,17682.22,17445.9,17224.58,17024.96,16857.3,16716.51,16592.4,16444.66,16306.6,16170.74,16042.16,15935.98,15870.18,15786.65,15706.39,15628.76,15581.51,15532.27,15459.11,15396.31,15344.68,15286.19,15226.03,15184.27,15157.96,15130.33,15093.03,15058.46,15026.33,15006.71,14994.34,14974.69,14963.59,14939.18,14912.98,14893.16,14877.37,14869.62,14855.33,14841.02,14830.13,14819.15,14812.19,14804.47,14803.72,14794.36,14790.33,14782.31,14779.91,14775.5,14772.69,14766.67,14762.76,14763.9,14756.15,14755.46,14758.04,14754.95,14753.22,14749.59,14749.95,14749.53,14746.68,14745.51,14744.27,14744.35,14742.72,14741.61,14743.93,14742.42,14744.46,14743.7,14744.4,14743.2,14744.54,14743.69,14744.62,14743.67,14743.56,14743,14743.01,14744.43,14743.43,14742.8,14744.85,14743.32,14744.22,14744.74,14743.19,14743.79,14742.75,14742.68,14744.75,14742.75,14742.45,14743.13,14744.14,14744.32
18550.63,18201.21,17976.32,17850.6,17758.4,17674.71,17617.48,17559.49,17487.16,17411.64,17352.69,17295.46,17244.02,17197.76,17145.06,17109.96,17060.79,17010.53,16955.12,16909.61,16857.8,16803.72,16753.06,16694.92,16644.74,16598.68,16560.97,16519.95,16485.77,16449.39,16414.53,16377.61,16342.39,16312.11,16279.42,16247.13,16216.62,16196.84,16170.59,16145.34,16115.45,16087.88,16061.33,16031.35,16000.55,15973.03,15941.65,15919.42,15895.81,15873.44,15842.02,15825.18,15802.43,15781.84,15762.52,15740.17,15710.27,15685.8,15659.66,15634.87,15616.09,15598.45,15574.4,15558.09,15546.67,15534.19,15511.23,15494.36,15476.99,15464.14,15448.64,15434.59,15419.61,15406.01,15387.33,15378.79,15364.52,15348.43,15336.42,15316.24,15298.03,15280.21,15261.65,15249.53,15246,15237.08,15222.42,15207.62,15192.4,15180.28,15167.73,15156.63,15145.45,15139.74,15126.07,15107.79,15094.73,15075.69,15057.16,15039.82
