nb,Dataset,Obj,Obj,,,,,,,,,,,,,,,,,
4,Census,4.543133803,34924.79,,,,,,,,,,,,,,,,,
16,Census,4.542858651,34902.67,,,,,,,,,,4.543133803,5.285069545,5.091489265,5.276233544,4.785604208,4.801591246,4.754092424,5.916121315
64,Census,4.542980078,34912.43,,,,,,,,,,4.542858651,5.285072181,5.092358043,5.276271408,4.785443876,4.802009516,4.754275922,5.916103223
256,Census,4.695445513,49595.87,,,,,,,,,,4.542980078,5.284956465,5.091269159,5.276115586,4.788298357,4.801759507,4.743687836,5.916134627
1024,Census,4.714776568,51853.32,,,,,,,,,,4.695445513,5.284884374,5.091837196,5.275114138,4.792017685,4.824387504,4.809393843,5.916171054
4,Diabetes,5.285069545,192783.36,,,,,,,,,,4.714776568,5.342578249,5.188641023,5.31713659,4.928600916,4.911385034,4.834858974,5.917917878
16,Diabetes,5.285072181,192784.53,,,,,,,,,,,,,,,,,
64,Diabetes,5.284956465,192733.17,,,,,,,,,,,,,,,,,
256,Diabetes,5.284884374,192701.18,,,,,,,,,,,,,,,,,
1024,Diabetes,5.342578249,220078.82,,,,,,,,,,,,,,,,,
4,Letter,5.091489265,123449.48,,,,,,,,,,,,,,,,,
16,Letter,5.092358043,123696.68,,,,,,,,,,,,,,,,,
64,Letter,5.091269159,123386.93,,,,,,,,,,,,,,,,,
256,Letter,5.091837196,123548.42,,,,,,,,,,,,,,,,,
1024,Letter,5.188641023,154397.77,,,,,,,,,,,,,,,,,
4,Loan,5.276233544,188900.69,,,,,,,,,,,,,,,,,
16,Loan,5.276271408,188917.16,,,,,,,,,,,,,,,,,
64,Loan,5.276115586,188849.39,,,,,,,,,,,,,,,,,
256,Loan,5.275114138,188414.42,,,,,,,,,,,,,,,,,
1024,Loan,5.31713659,207556.62,,,,,,,,,,,,,,,,,
4,Patient,4.785604208,61038.55,,,,,,,,,,,,,,,,,
16,Patient,4.785443876,61016.02,,,,,,,,,,,,,,,,,
64,Patient,4.788298357,61418.38,,,,,,,,,,,,,,,,,
256,Patient,4.792017685,61946.63,,,,,,,,,,,,,,,,,
1024,Patient,4.928600916,84840.05,,,,,,,,,,,,,,,,,
4,Student,4.801591246,63327.34,,,,,,,,,,,,,,,,,
16,Student,4.802009516,63388.36,,,,,,,,,,,,,,,,,
64,Student,4.801759507,63351.88,,,,,,,,,,,,,,,,,
256,Student,4.824387504,66740.2,,,,,,,,,,,,,,,,,
1024,Student,4.911385034,81542.69,,,,,,,,,,,,,,,,,
4,Taxi,4.754092424,56766.54,,,,,,,,,,,,,,,,,
16,Taxi,4.754275922,56790.53,,,,,,,,,,,,,,,,,
64,Taxi,4.743687836,55422.72,,,,,,,,,,,,,,,,,
256,Taxi,4.809393843,64475.37,,,,,,,,,,,,,,,,,
1024,Taxi,4.834858974,68368.96,,,,,,,,,,,,,,,,,
4,YearPrediction,5.916121315,824368.36,,,,,,,,,,,,,,,,,
16,YearPrediction,5.916103223,824334.02,,,,,,,,,,,,,,,,,
64,YearPrediction,5.916134627,824393.63,,,,,,,,,,,,,,,,,
256,YearPrediction,5.916171054,824462.78,,,,,,,,,,,,,,,,,
1024,YearPrediction,5.917917878,827785.62,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
