BFKM,YearPredictionMSD,9,735360.8124,757.5763
BFKM,YearPredictionMSD,10,730419.369,548.1889
FCE,athlete,3,30306.7941,1.1547
FCE,athlete,4,39988.7771,0
FCE,athlete,5,39997.4136,0
FCE,athlete,6,25517.6499,1.0328
FCE,athlete,7,26230.3896,0.9759
FCE,athlete,8,39958.812,0
FCE,athlete,9,23891.4694,0.928
FCE,athlete,10,39973.9365,0
FCE,census,3,35329.4097,1.1547
FCE,census,4,39986.5124,0
FCE,census,5,39981.9553,0
FCE,census,6,33656.3348,1.0328
FCE,census,7,33139.571,0.9759
FCE,census,8,39966.4092,0
FCE,census,9,28929.4923,1.0541
FCE,census,10,39972.0092,0
FCE,Spanish,3,18980.6109,0
FCE,Spanish,4,15756.0601,1
FCE,Spanish,5,13341.608,1.0954
FCE,Spanish,6,13246.9643,0.8944
FCE,Spanish,7,18961.1996,0
FCE,Spanish,8,13680.0595,1.0351
FCE,Spanish,9,13258.6773,1
FCE,Spanish,10,15813.0844,0.9661
FCE,YearPredictionMSD,3,873369.4779,1.1547
FCE,YearPredictionMSD,4,899690.0394,0
FCE,YearPredictionMSD,5,899492.9503,0
FCE,YearPredictionMSD,6,870480.6694,1.0328
FCE,YearPredictionMSD,7,867699.4387,0.9759
FCE,YearPredictionMSD,8,899425.0178,0
FCE,YearPredictionMSD,9,853117.1592,1.0541
FCE,YearPredictionMSD,10,899118.7847,0
VFLC,athlete,3,42162.82,2332.94
VFLC,athlete,4,30162.84,2140.83
VFLC,athlete,5,30541.06,987.2
VFLC,athlete,6,33384.35,1815.63
VFLC,athlete,7,23091.5,1030.36
VFLC,athlete,8,30640.6,1543.96
VFLC,athlete,9,20977.54,1026.21
VFLC,athlete,10,25049.29,949.09
VFLC,census,3,46274.27,6011.45
VFLC,census,4,47507.02,4373.32
VFLC,census,5,44933.65,2500.18
VFLC,census,6,42244.9,2305.99
VFLC,census,7,49497.05,2257
VFLC,census,8,38839.17,1658.77
VFLC,census,9,44109.58,1721.5
VFLC,census,10,42587.29,1651.5
VFLC,Spanish,3,22359.46,3757.41
VFLC,Spanish,4,21410.8,3125.75
VFLC,Spanish,5,20651.11,2738.7
VFLC,Spanish,6,21449.15,2455.83
VFLC,Spanish,7,21290.43,1850.46
VFLC,Spanish,8,19990.82,1729.65
VFLC,Spanish,9,18840.1,1575.48
VFLC,Spanish,10,19236.13,1481.16
VFLC,YearPredictionMSD,3,849140.56,3456.04
VFLC,YearPredictionMSD,4,852439.49,3952.93
VFLC,YearPredictionMSD,5,902808.2,4492.18
VFLC,YearPredictionMSD,6,836606.86,1592.28
VFLC,YearPredictionMSD,7,814118.23,1696.49
VFLC,YearPredictionMSD,8,853961.39,2387.86
VFLC,YearPredictionMSD,9,820975.08,2190.44
VFLC,YearPredictionMSD,10,813201.2,1694.84
DPFMPS-BasicEst,athlete,3,62390.44009,4727.183552
DPFMPS-BasicEst,athlete,4,60018.54496,3635.018845
DPFMPS-BasicEst,athlete,5,49590.7197,2155.298471
DPFMPS-BasicEst,athlete,6,39914.73795,1919.205843
DPFMPS-BasicEst,athlete,7,37832.80502,2391.443417
DPFMPS-BasicEst,athlete,8,41436.3708,1266.943228
DPFMPS-BasicEst,athlete,9,30081.64536,1453.262145
DPFMPS-BasicEst,athlete,10,38323.77237,1015.74986
DPFMPS-BasicEst,census,3,58519.05917,4271.507267
DPFMPS-BasicEst,census,4,53029.26051,3056.600181
DPFMPS-BasicEst,census,5,52369.28929,3567.166733
DPFMPS-BasicEst,census,6,51741.77844,3308.954498
DPFMPS-BasicEst,census,7,41422.79491,2402.289801
DPFMPS-BasicEst,census,8,42250.05364,1530.876033
DPFMPS-BasicEst,census,9,42541.06695,2025.440659
DPFMPS-BasicEst,census,10,39334.9196,1781.760241
DPFMPS-BasicEst,Spanish,3,238007.0186,2728.848292
DPFMPS-BasicEst,Spanish,4,48677.47955,2359.002261
DPFMPS-BasicEst,Spanish,5,48950.81569,2110.740202
DPFMPS-BasicEst,Spanish,6,30812.59905,1870.994281
DPFMPS-BasicEst,Spanish,7,30553.82508,1733.521849
