nb,Dataset,Obj,Obj,,,,,,,,,,,,
4,Census,4.524461943,33455.07,4.524461943,,,,,,,,,,,
16,Census,4.524463371,33455.18,4.524463371,,,,,,,,,,,
64,Census,4.524493746,33457.52,4.524493746,,,,,,,,,,,
256,Census,4.703141628,50482.59,4.703141628,,,,4.524461943,5.2555718,5.045483169,5.23740888,4.762869716,4.771454527,4.721953241,5.908735668
1024,Census,4.824485557,66755.27,4.824485557,,,,4.524463371,5.255572258,5.045482934,5.237758143,4.763351012,4.771364986,4.722748403,5.908735711
4,Diabetes,5.2555718,180124.09,5.2555718,,,,4.524493746,5.255572234,5.045483051,5.237409106,4.76239817,4.77253506,4.728071764,5.908735711
16,Diabetes,5.255572258,180124.28,5.255572258,,,,4.703141628,5.258467961,5.045484029,5.254401016,4.892901862,4.864649653,4.806052653,5.908735749
64,Diabetes,5.255572234,180124.27,5.255572234,,,,4.824485557,5.365140017,5.232953288,5.290093092,4.971843679,4.989136354,4.890550394,5.913964166
256,Diabetes,5.258467961,181329.29,5.258467961,,,,,,,,,,,
1024,Diabetes,5.365140017,231814.19,5.365140017,,,,,,,,,,,
4,Letter,5.045483169,111040.95,5.045483169,,,,,,,,,,,
16,Letter,5.045482934,111040.89,5.045482934,,,,,,,,,,,
64,Letter,5.045483051,111040.92,5.045483051,,,,,,,,,,,
256,Letter,5.045484029,111041.17,5.045484029,,,,,,,,,,,
1024,Letter,5.232953288,170983.14,5.232953288,,,,,,,,,,,
4,Loan,5.23740888,172746.35,5.23740888,,,,,,,,,,,
16,Loan,5.237758143,172885.33,5.237758143,,,,,,,,,,,
64,Loan,5.237409106,172746.44,5.237409106,,,,,,,,,,,
256,Loan,5.254401016,179639.16,5.254401016,,,,,,,,,,,
1024,Loan,5.290093092,195026.26,5.290093092,,,,,,,,,,,
4,Patient,4.762869716,57925.49,4.762869716,,,,,,,,,,,
16,Patient,4.763351012,57989.72,4.763351012,,,,,,,,,,,
64,Patient,4.76239817,57862.63,4.76239817,,,,,,,,,,,
256,Patient,4.892901862,78145.12,4.892901862,,,,,,,,,,,
1024,Patient,4.971843679,93722.46,4.971843679,,,,,,,,,,,
4,Student,4.771454527,59081.91,4.771454527,,,,,,,,,,,
16,Student,4.771364986,59069.73,4.771364986,,,,,,,,,,,
64,Student,4.77253506,59229.09,4.77253506,,,,,,,,,,,
256,Student,4.864649653,73223.36,4.864649653,,,,,,,,,,,
1024,Student,4.989136354,97529.58,4.989136354,,,,,,,,,,,
4,Taxi,4.721953241,52717.31,4.721953241,,,,,,,,,,,
16,Taxi,4.722748403,52813.92,4.722748403,,,,,,,,,,,
64,Taxi,4.728071764,53465.27,4.728071764,,,,,,,,,,,
256,Taxi,4.806052653,63981.24,4.806052653,,,,,,,,,,,
1024,Taxi,4.890550394,77723.15,4.890550394,,,,,,,,,,,
4,YearPrediction,5.908735668,810467.62,5.908735668,,,,,,,,,,,
16,YearPrediction,5.908735711,810467.7,5.908735711,,,,,,,,,,,
64,YearPrediction,5.908735711,810467.7,5.908735711,,,,,,,,,,,
256,YearPrediction,5.908735749,810467.77,5.908735749,,,,,,,,,,,
1024,YearPrediction,5.913964166,820283.86,5.913964166,,,,,,,,,,,
