1,2,3,4,5,6,7,8
1,2,3,4,5,6,7,8
38075.75,33043.33,24380.41,28930.6,20277.47,18402.66,17275.74,16024.15
38075.75,33043.72,24380.41,28886.68,19874.3,18402.66,17423.39,16023.75
37627.87,38975.48,39774.34,39821.03,39813.31,39972.44,39968.56,39960.76
49996.7623,49986.7259,49983.3725,49984.7617,49971.8814,49973.9093,49958.4552,49956.0247
44887.74,38741.54,35498.74,34905.46,29393.96,33262.97,32335.72,27136.83
60851.62321,56400.91267,52874.31022,47861.80421,51323.70172,40861.50651,44666.68013,38828.87706
37226.74,33453.73,31296.85,30050.85,28095.89,26777.23,25435.73,24841.6
40489.11,38415.56,38521.1,38293.76,37690.68,37961.66,37343.43,37199.14
187098.69,175437.01,169715.07,161504.54,155868.37,151598.74,144882.6,142103.28
184780.13,179129.48,169657.1,161504.3,158842.26,153802.11,145227.97,137858.12
206952.79,209155.69,209537.01,209593.61,209405.45,209867.09,209837.94,209818.1
219963.3138,219950.6758,219889.67,219894.3229,219857.9711,219843.1829,219783.7403,219813.5194
198105.14,203567.42,196470.76,184253.78,183561.31,178451.58,183558.18,180496.43
258156.5429,246489.754,236707.6596,237692.6219,214391.954,206135.7859,210619.9856,196226.1244
188298.79,180127.48,175073.85,170421.24,165493.94,160965.61,157599.32,152819.06
196663.65,199631.96,195258.28,198057.54,194288.45,196699.25,194321.21,194610.39
119293.86,110376.79,104173.45,98792.87,94993.2,91104.44,87987.72,84259.12
118419.43,111450.76,103963.2,98590.74,94399.29,90878.42,87608.71,84562.53
149976.51,149964.09,149937.16,149928.77,149885.09,149852.56,149877,149860.21
159969.1053,159948.3482,159943.6326,159921.4164,159910.1993,159901.3047,159893.3427,159876.31
131480.31,131498.78,132526.22,129256.25,113556.86,114691.39,112124.07,113565.65
234972.426,298691.764,314298.6475,261976.2186,248504.5609,253862.6125,285982.0766,284940.0388
120268.97,111040.39,103955.57,99536.22,95162.17,91273.4,88755.36,86705.08
122717.25,123006.7,119032.08,118767.67,119512.97,118418.09,116233.71,116589.61
176356.36,153337.21,147976.15,143017.43,132535.42,135850.03,122019.19,116599.83
164427.84,153322.92,147512.04,143815.11,138937.46,128076.12,119464.38,115522.34
209599.22,209716.61,209776.19,209626.81,209522.77,209809.2,209808.8,209765.94
219959.0044,219947.9103,219917.2,219852.6513,219866.8551,219852.4617,219798.7395,219764.1326
183969.36,198841.48,196224.13,189644.16,165520.23,182244.18,158701.24,169259.7
319946.1278,315540.6649,275314.6716,189384.9522,183285.2882,205979.7514,245132.1443,226273.8536
181290.77,172570.44,166692.21,161905.1,157495.71,153601.55,151073.86,147082.43
209829.63,198657.4,188823.62,184558.59,188688.32,193956.9,188570.85,184058.47
59737.13,53696.02,47914.47,43174.74,43905.15,41265.85,36681.33,38976
59737.12,53695.95,47913.29,43174.72,40290.3,37678.64,36746.49,34511.69
68007.76,68060.26,69660.25,69258.6,69382.2,69952.27,69951.81,69942.72
79991.1698,79984.5283,79980.4998,79971.1207,79941.2858,79933.0712,79863.2687,79073.5256
82974.46,76211.31,74417.71,65979.68,70948.89,69252.08,73673.57,52293.99
129704.201,121918.7467,118271.3526,95536.7137,105650.3519,90529.92303,89625.64379,98136.84571
62394.86,57861.02,54502.43,51174.01,48639.76,45289.26,42358.78,39916.04
67235.53,66722.06,66284.94,63897.77,64418.15,64362.88,64071.54,63597.26
62044.26,58873.75,56356.46,53761.62,52006.86,50082.04,48874.74,47582.31
62044.26,58703.4,55686.36,54083.99,51822.41,50250.02,48591.7,34751.9
68007.72,67862.75,69748.46,68858.43,69598.64,69951.96,69947.51,69935.78
79073.67,79073.67,79073.67,79073.67,79073.67,79073.67,79073.67,79073.67
69207.28,71721.01,64296.04,51969.43,60751.07,46632.83,49885.27,45961.41
90969.08644,94368.33254,77884.55556,79929.34907,68931.84391,72993.39491,68429.46606,66640.19918
62549.23,58989.78,55949.32,54350.89,52048.26,50213.28,48924,47610.4
70169.91,66892.82,65553.44,65785.8,64888.21,64325.43,63906.51,64824.27
18152.55,12400.43,11261.72,11032.93,9421.69,9554.03,8953.73,8622.75
18152.55,12400.43,11261.3,9966.29,9600.53,9436.99,5886.67,5669.11
55400.34,45070.37,54798.73,55060.36,54999.95,55370.89,55370.74,55363.5
65185.7548,65185.7548,65185.7548,65185.7548,65185.7548,65185.7548,65185.7548,65185.7548
62444.12,64194.46,33100.04,32316.93,36507.68,35708.03,34343.35,31544.64
201314,191314,171314,142652,93204.41368,92442.37795,93336.37179,88886.80376
56300.49,52746.14,50630.23,48606.78,46648.53,45120.72,37943.03,54761.05
58746.14,61001.09,56701.08,58187.49,57535.36,58782.47,56582.57,58496.06
815872.34,792564.99,772856.11,753974.99,743269.28,731916.46,723086.94,715634.46
815846.78,792193.17,769327.64,752819.47,743058.45,731216.55,722987.06,715574.01
899358.52,899591.82,899468.9,899321.03,899328.28,899405.04,899251.64,899172.99
909771.9701,909717.5716,909635.043,909545.4906,909527.5302,909332.8456,909296.3799,909138.9175
854227.71,872182.61,822540.68,825405.54,816128.49,841510.94,818164.14,811674.38
974423.7423,922257.3195,918723.2641,887609.188,878127.6606,896913.5017,894444.4533,878624.5401
829535.06,810468.93,796652.28,784780.22,774355.99,765501.87,759722.32,751668.56
856210.57,846760.32,849555.24,844799.62,846478.46,844907.29,842729.27,839721.49
