1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
28479.61,26906.07,26277.46,25881.59,25708.83,25570.22,25456.91,25406.11,25329.72,25268.88,25123.24,25097.09,25007.2,24971.4,24947.42,24897.99,24817.03,24767.74,24790.83,24756.11,24704.41,24716.83,24707.1,24665.58,24667.29,24703.22,24665.29,24682.19,24658.38,24663.14,24668.89,24663.68,24667.06,24649.98,24707.73,24617.39,24658.33,24681.82,24644.93,24649.29,24677.85,24656.29,24662.92,24660.52,24673.16,24669.41,24657.98,24689.19,24639.6,24662.3,24676.76,24662.77,24708.81,24666.12,24674.11,24647.74,24698.87,24667.77,24708.35,24678.92,24685.77,24673.73,24675.3,24667.78,24653.82,24667.41,24684.43,24690.65,24728.99,24718.04,24728.21,24741.28,24675.76,24691.27,24722.72,24723.52,24688.98,24725.87,24675.6,24719.91,24689.71,24676.78,24683.54,24688.32,24714.57,24716.55,24667.64,24697.02,24686.69,24686.93,24696.61,24682.99,24660.21,24723.78,24692.29,24718.35,24723.63,24715.99,24713.75,24720.57
29066.7,27732.21,27201.56,26803.45,26481.53,26260.75,26117.74,25988.57,25878.19,25790.59,25749.53,25717.05,25642.27,25611.29,25542.58,25498.88,25516.8,25438.97,25447.89,25395.37,25339.3,25342.93,25304.27,25256.41,25247.03,25232.4,25179.39,25213.02,25127.86,25136.91,25138.63,25104.4,25096.9,25017.24,25050.97,24993.61,24963.72,24979.27,24939.99,24889.23,24911.26,24843.89,24848.71,24868.79,24829.96,24818.06,24827.79,24811.46,24755.76,24712.67,24772.8,24812.3,24761.89,24746.12,24784.38,24773.66,24806.57,24775.94,24782.17,24780.54,24746.35,24760.32,24800.53,24762.75,24796.33,24738.31,24800.43,24811.09,24804.77,24812.63,24769.49,24843.5,24804.96,24831.69,24765.57,24784.31,24730.98,24765.18,24694.45,24776.15,24801.88,24782.61,24751.79,24726.81,24812.65,24752.02,24764.61,24757.5,24719.43,24741.06,24760.54,24777.77,24731.11,24770.41,24733.09,24728.95,24760.19,24801.54,24778.43,24765.74
29444.3,28374.64,27950.26,27641.19,27343.22,27098.98,26885.04,26758.07,26626.43,26522.19,26421.06,26358.09,26268.11,26237.95,26175.04,26143.87,26077.39,26045.17,26033.99,25975.06,25932.43,25944.94,25898.28,25821.87,25853.51,25831.74,25772.52,25825.42,25726.24,25756.51,25726.95,25683.11,25710.59,25685.74,25664.17,25676.01,25602.88,25657.16,25582.84,25573.86,25552.27,25501.77,25518.27,25452.87,25448.58,25457.51,25447.72,25428.17,25319.65,25316.71,25393.61,25375.1,25299.26,25324.9,25312.52,25288.85,25345.43,25343.77,25356.43,25317.11,25315.47,25319.84,25308.1,25288.21,25289.77,25238.41,25250.67,25177.03,25203.09,25214.8,25167.37,25227.73,25125.1,25149.36,25076.96,25065.75,25089.52,25019.11,25010.42,25005.84,25003.98,25003.61,24968.48,24931.03,24967.95,24954.89,24916.29,24928.75,24868.07,24894.95,24875.14,24848.14,24824.01,24837.04,24822.49,24841.84,24808.63,24840.28,24851.25,24814.64
29269.28,28663.9,28373.75,28226.54,28056.31,27910.46,27757.35,27616.85,27514.35,27434.2,27285.44,27234.77,27140.7,27072.28,27012.84,26971.74,26882.38,26878.02,26891.19,26818.87,26792.89,26802.96,26696.27,26697.02,26713.07,26664.22,26619.53,26589.71,26552.26,26624.7,26566.63,26573.97,26524.81,26505.4,26565.35,26575.36,26619.56,26510.62,26477.59,26502.36,26566.13,26604.29,26617.41,26542.9,26500,26385.37,26410.44,26413.79,26342.74,26318.36,26315.72,26370.12,26279.94,26265.63,26177.36,26171.64,26127.95,26035.28,25959.44,25903.99,25900.34,25735.57,25793.12,25752.96,25750.02,25770.14,25688.27,25672.61,25721.32,25724.98,25614.42,25677,25656.46,25560.26,25592.68,25612.45,25629.27,25520.07,25570.68,25532.95,25638.8,25567.24,25489.43,25556.39,25448.86,25410.45,25395.02,25476.02,25457.09,25437.73,25471.72,25412.8,25324.35,25365.52,25368.72,25367.46,25319.16,25369.59,25431.71,25279.03
29026.05,28932.61,28892.98,28850.86,28781.1,28700.31,28671.42,28667.31,28571.82,28585.48,28472.58,28427.67,28281.58,28245.81,28229.52,28180.13,28127.05,28100.24,28118.52,28103.6,28028.96,28002.72,27972.58,27945.19,27915.67,27823.49,27808.93,27832.91,27761.95,27766.45,27791.17,27768.35,27710.44,27688.05,27625.81,27635.88,27606.11,27663,27636.98,27745.12,27710.05,27648.69,27646.28,27664.39,27618.33,27566.89,27658.38,27680.27,27630.68,27693.29,27593.07,27657.18,27604.22,27579.1,27576.12,27492.68,27488.02,27560.42,27530.55,27463.37,27544.05,27610.26,27469.58,27538.55,27567.6,27530.88,27495.78,27478.76,27436.16,27480.23,27550.95,27503.06,27488.25,27399.32,27473.77,27424.1,27307.71,27337.18,27441.87,27387.69,27318.02,27382.32,27267.18,27305.48,27395.41,27332.49,27343.91,27441.27,27366.73,27238.8,27198.08,27258.45,27324.89,27279.6,27358.84,27415.3,27230.63,27151.15,27226.99,27089.92
14199.65,10706.3,8704.26,8485.08,8708.67,8939.34,9055.17,9144.6,9150,9188.53,9114.26,9190.02,9051.48,9088.05,9143.18,9077.37,9005.91,8969.58,8972.58,8958.74,8850.93,8892.85,8819.77,8836.97,8811.8,8885.92,8848.15,8885.27,8847.13,8796.84,8891.93,8832.66,8880.89,8837.19,8853.88,8828.41,8799.85,8802.19,8743.38,8677.48,8694.8,8673.45,8668.05,8645.47,8682.16,8651.06,8672,8665.97,8673.48,8637.63,8618.64,8672.84,8682.35,8653.89,8687.8,8646.74,8632.29,8664.62,8633.17,8676.57,8626.23,8595.91,8606.71,8609.81,8637,8619.86,8631.89,8627.8,8649.44,8606.98,8593.17,8586.98,8625.65,8688.18,8616.43,8565.12,8603.76,8671.78,8654.69,8509.79,8631.66,8596.05,8581,8574.31,8528.22,8531.11,8518.8,8516.3,8508.03,8524.68,8496.98,8507.16,8468,8509.51,8473.75,8509.03,8515.98,8519.97,8492.26,8494.34
13819.85,11588.83,9445.9,9352.24,9355.18,9310.4,9268.2,9267.44,9185.12,9283.59,9190.08,9373.4,9118.24,9213.15,9091.48,9119.81,9144.63,9126.74,9096.55,9175.94,9033.2,9066.99,9066.75,9173.35,8994.67,9078.46,9064.22,9095.35,9044.81,8993.09,9054.97,9010.62,9114.15,9014.75,8957.37,9117.45,8889.11,9005.34,8885.83,8921.74,8937.05,8966.85,8845.62,8869.4,8950.47,8835.8,8877.04,8875.01,8819.78,8832.99,8769.97,8811.83,8747.38,8815.12,8637.18,8762.46,8692.53,8724.33,8673.35,8701.52,8681.15,8625.24,8616.35,8600.27,8604.56,8602.09,8537.7,8551.31,8532.4,8564.14,8511.36,8396.05,8173.77,8232.88,8166.07,8070.52,8039.22,8050.91,8083.01,8082.17,8048.74,8076.74,8069.66,8079.3,8077.61,8076.08,8097.02,8071.35,8086.54,8061.98,8077.83,8106.59,8041.55,8089.54,8066.95,8057.46,8028.21,8052.61,8050.45,8079.91
12542.18,11052.85,10348.32,9481.33,9234.93,9182.61,9163.19,9182.71,9174.29,9190.59,9126.63,9237.04,9087.47,9156.95,9013.13,9106.42,9176.9,9016.32,9086.07,9070.21,9120.03,9021.39,9040.52,9123.74,8931.97,8970.81,8890.48,8972.83,8825.57,8766.9,8754.81,8703.68,8649.48,8592.15,8466.88,8442.59,8382.64,8366.26,8315.73,8339.26,8298.47,8278.11,8264.23,8186.55,8197.86,8153.31,8150.15,8155.47,8155.57,8142.31,8095.59,8046.82,8088.91,8044.54,8044.79,8047.87,8036.54,8047.44,8022.37,8025.46,8019.11,8044.48,8006.83,7983.47,8021.14,7971.49,8015,7977.28,8008.36,7989.91,7962.05,7948.41,7977.17,7961.85,7957.71,7968.28,7956.62,7977.14,7940.88,7975.51,7987.73,7957.91,7953.03,7937.71,7972.79,7945.55,7946.5,7935.47,7951.44,7927.11,7933.98,7963.28,7944.5,7950.52,7944.04,7943.92,7960.89,7943.12,7927.86,7945.57
12448.11,11360.68,10905.93,10796.97,10497.32,10234.28,9991.77,9766.17,9565.91,9370.43,9305.48,9265.73,9261.39,9268.17,9229.95,9247.11,9246.75,9201.73,9153.95,9117.98,9088.72,9071.43,8997.29,8982.64,8893.57,8889.78,8794.39,8783.05,8784.82,8677.02,8669.96,8675.67,8606.65,8549.85,8509.45,8476.47,8455.76,8439.75,8392.2,8332.67,8308.04,8312.84,8306.05,8296.87,8290.46,8270.14,8244.53,8247.11,8218.31,8236.46,8225.55,8209.88,8202.07,8210.36,8199.36,8207.02,8196.61,8197.14,8208.05,8195.92,8174.29,8197.11,8183.21,8197.23,8166.12,8187.56,8187.54,8191.96,8178.82,8181.48,8176.38,8181.98,8174.14,8174.44,8185.41,8186.27,8165.69,8174.02,8189.13,8168.38,8174.84,8167.42,8177.06,8179.82,8191.64,8157.89,8172.84,8180.93,8169.09,8179.41,8194.22,8151.75,8179.24,8173.21,8189.66,8186.7,8179.36,8165.72,8180.23,8186.25
