1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
0.750010967,0.628545523,0.827308655,0.975930929,1.797379971,4.36894846,16.07694912,78.44974089,390.2770665
9.114831924,8.080898762,11.9332397,17.94367027,26.2662499,37.57152891,118.4631867,433.181901,1745.859957
0.4649,0.4568,0.4655,0.4755,0.478,0.4777,1.0824,1.612,1.6288
0.5301,0.5508,0.5768,0.5643,0.66,0.7633,1.7191,1.9764,1.9321
0.94114995,0.839865685,0.915560961,0.905930996,1.947547436,4.481100082,15.91284513,81.314816,410.8486121
9.781171083,6.675392151,16.35255194,12.74051166,27.8462348,38.41296291,137.8416336,448.42735,1730.371161
1.2774,1.3332,1.3993,1.4415,1.5002,1.2813,0.5035,0.6014,0.5924
1.3718,1.4851,1.5037,1.6023,1.7234,1.8134,1.9026,1.8808,1.8645
0.670996904,0.630740881,0.857215166,0.922347069,1.75014472,4.010977507,13.04853654,68.89433217,342.8003778
10.00718713,8.89966321,11.75743866,18.5650394,25.42063975,37.75083613,121.1085405,435.4433913,1778.737698
0.554,0.5545,0.5843,0.606,0.6307,0.6441,0.6667,0.6826,0.6899
1.4384,1.4652,1.6028,0.6024,0.5793,0.6272,0.6999,0.7416,0.7588
1.507456303,2.079571009,2.711149454,3.428573608,4.83809638,7.757793427,21.31865454,86.26125193,427.2747183
6.670873404,10.13017273,12.12080312,15.47970748,21.92495847,42.37122154,116.3618839,443.9875252,1791.446896
0.4685,0.4676,1.0332,1.4548,1.4787,1.5507,1.5917,1.6311,1.628
0.5085,0.5527,0.5797,0.5796,0.6233,0.6418,0.6586,0.7042,0.6755
