1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
43234.83,39904.77,39987.7,39953.85,39926.65,39903.5,39912.86,39863.32,40007.52,39914.45,39942.52,39901.86,39947.86,39886.03,39894.24,39873.62,39906.71,39887.32,39907.39,39933.54,39893.74,39902.73,39886.58,39902.8,39921.79,39840.58,39886.46,39858.58,39857.1,39821.01,39824.47,39862.16,39862.8,39853.47,39824.3,39874.7,39909.03,39896.96,39873.2,39856.11,39928.28,39855.38,39870.12,39856.01,39870.93,39856.74,39864.99,39920.27,39867.28,39908.47,39910.82,39940.53,39845.05,39825,39811.13,39849.14,39823.37,39864.34,39862.84,39833.13,39874.95,39870.02,39803.92,39854.54,39854.15,39872.61,39846.07,39858.24,39825.81,39875.55,39832.24,39908.44,39862.96,39861.94,39850.11,39829.52,39898.04,39851.28,39869.51,39814.44,39865.29,39912.96,39843.33,39829.21,39861.31,39861.25,39876.62,39843.17,39858.05,39847.55,39867.97,39887.75,39870.49,39881.55,39819.44,39860.24,39882.97,39878.04,39851.18,39881.75
44965.04,39598.51,39610.08,39595.18,39608.62,39544.05,39654.54,39533.21,39529.63,39542.52,39364.46,39420.42,39461.84,39317.67,39239.2,39317.02,39246.98,39197.83,39215.1,39234.05,39328.24,39292.27,39248.89,39336.51,39158.67,39226.02,39264.66,39201.7,39234.01,39241.93,39219.78,39216.74,39222.38,39160.22,39267.67,39226.26,39185.07,39137.39,39168.78,39162.43,39188.4,39131.83,39249.41,39150.07,39160.52,39198.33,39180.01,39074.61,39139.98,39119.26,39159.4,39127.92,39115.3,39154.44,39147.25,39247.71,39136.51,39137.79,39152.57,39134.68,39185.35,39092.22,39177.01,38979.67,39054.78,39104.54,39105.83,39164.06,39161.24,39096.34,39116.97,39158.06,39189.34,39177.1,39129.84,39094.52,39097.07,39128.03,39146.88,39103.75,39178.06,39109.48,39148.52,39134.64,39182.52,39142.41,39140.43,39158.79,39116.48,39094.72,39113.07,39168.14,39202.14,39181.95,39139.07,39041.37,39151.08,39117.72,39037.84,39152.68
42918.12,38600.06,38527.44,38482.51,38225.76,38133.14,38154.77,38068.8,37938.67,37938.44,37815.33,37796.96,37969.13,37511.85,37552.66,37575.12,37377.27,37125.3,37244.98,37252.23,37204.87,37294.69,37176.3,37153.1,37018.63,37152.75,37164.78,37071.01,37151.02,37187.26,37150.54,37184.69,37215.11,36936.7,37176.49,37092.22,36976,36950.21,37110.85,37103.41,37073.92,37104.47,37059.42,36940.36,36978.03,37040.43,36999.75,36921.25,36904.66,36890.65,36916.35,37057.24,36928.26,36844.36,36888.22,36982.52,36756.17,36954.65,36947.03,36913.4,37007.77,36843.49,36910.17,36769.31,36965.3,36849.35,36886.26,36932.75,36780.02,37001.94,36902.24,36849.19,36911.61,36834.39,36844.71,36878.41,36877.18,36836.78,36867.09,36846.75,36864.89,36867.15,36806.24,36760.53,36756.6,36981.4,36797.2,36884.33,36868.92,36846.74,36720.67,36825.16,36924.54,36848.42,36957.82,36772.72,36838.72,36995.95,36824.78,36907.07
35798.93,34654.27,33691.96,33124.57,32939.41,32773.62,32613.4,32507.63,32500.8,32428.75,32307.26,32495.46,32478.38,32441.92,32638.85,32747.06,32913.4,32306.3,32354.66,32228.99,32263.49,32311.43,32158.79,32237.13,32025.3,32074.39,32183.07,31984.07,32070.79,32091.07,31990.54,32181.33,31998.45,32177.79,31916.16,31985.69,31851.86,32021.09,31876.73,31750.26,31849.91,31836.18,31716.33,31646.92,31762.21,31782.71,31544.55,31644.06,31649.63,31582.98,31491.52,31534.01,31774.36,31623.04,31823.2,31575.09,31928.59,31807.45,31663.13,31589.58,31891.72,31463.11,31524.16,31536.3,31892.11,31396.11,31614.89,31676.47,31789.17,31686.82,31729.5,31640.32,31693.72,31613.37,31718.62,31857.6,31664.43,31692.41,31556.11,31641.92,31606.69,31604.5,31684.38,31660.03,31732.09,31486.1,31561.99,31520.12,31569.87,31611.34,31514.85,31396.36,31681.08,31548.49,31774.09,31363.15,31690.3,31647.94,31768.62,31451.2
34775.95,33178.78,32802.06,32210.23,31501.51,31399.21,31216.98,31396.16,31444.48,31364.25,31475.25,31571.99,31609.87,31566.31,31914.12,31964.98,32446.96,31948.8,31920.07,31637.98,31726.11,31993.28,31771.65,32254.27,31775.87,31727.35,31612.3,32143.32,31934.73,31644.72,31636.59,31583.68,31603.24,31470.01,31359.51,31344.39,31483.52,31570.41,31274.39,31553.54,31340.78,31528.35,31257.02,31104.33,31212.35,31410.3,31222.35,31165.46,31290.95,31384.85,31223.29,31212.62,31362.16,31350.82,31470.7,31921.44,31763.72,31637.07,31728.12,31372.52,31819.87,31456.76,31176.81,31245.69,31297.17,31533.64,31400.32,31338.35,31573.3,31544.22,31378.98,31236.71,31496.66,31283.63,31241.43,31196.39,31248.03,31298.57,31371.82,31287.75,31478.49,31213.04,31248.65,31448.27,31399.1,31320.25,31202.31,31251.52,31617.34,31294.16,31212.86,31264.13,31353.08,31365.87,31496.31,31660.93,31541.04,31513.02,31565.64,31226.76
34640.35,33122.38,32924.82,32256.92,31601.33,31504.05,31299.98,31314.26,31435.92,31174.26,31094.05,31219.33,31304.4,31412.47,31785.13,31579.62,31835.64,31373.35,31406.93,31291.25,31470.55,31393.31,31050.61,31601.29,31146.03,31194.45,31196.09,31434.09,31530.31,31512.77,31395.05,31514.3,31634.62,31244.47,31214.83,31259.76,31313.61,31265.92,31098.07,31386.81,31417.21,31383.67,31165.25,30943.4,30863.05,31051.67,30795.09,30998.53,31006.92,31028.1,30974.79,30880.21,31124.39,30897.07,31114.46,30909.72,31537.04,31368.41,31318.57,31161.99,31491.09,30951.3,31316.28,31101.72,31176.12,31455.63,31485.73,31267.85,31693.31,31817.99,31112.64,30846.35,31014.97,30879.62,30885.78,30962.21,30928.53,30896.02,30973.59,31194.24,31081.03,31086.86,30993.45,31028,31137.57,30876.78,30957.27,30989.86,30924.89,30872.56,30915.55,30783.61,30871.14,30787.68,31087.2,31577.96,31316.16,31067.6,31116.07,30947.19
22314.18,19885.75,19933.3,20004.46,19993.06,19999.85,19985.83,19940.02,19989.91,19923.28,19951.78,19896.05,19938.95,19935.27,19939.44,19972.2,19916.3,19912.48,19900.57,19928.45,19931.56,19921.06,19917.54,19961.42,19966.44,19952.1,19951.39,19919.99,19923.16,19904.82,19916.35,19902.39,19985.04,19937.03,19930.54,19911.19,19940.38,19930.28,19958.94,19948.61,19984.28,19922.57,19940.1,19937.52,19941.4,19911.95,19923.04,19945.11,19918.1,19935.97,19951.56,19985.5,19941.22,19984.74,19944.61,19943.6,19937.41,19982.37,19942.54,19941.4,19959.65,19938.18,19937.24,19959.04,19964.74,20004.1,19971.45,19935.11,19909.33,19898.16,19910.26,19966.1,19931.92,19937.8,19933.82,19897.92,19908.08,19935.23,19918.03,19924.6,19929.7,19977.51,19934.21,19948.29,19934.02,19878.61,19887.57,19880.51,19927.37,19927.14,19950.93,19966.47,19950,19916.11,19922.85,19916.46,19926.01,19923.35,19920.23,19882.01
23042.3,19798.01,19892.51,19764.35,19784.27,19780.06,19740.52,19749.53,19708.75,19592.49,19610.43,19555.6,19579.35,19564.33,19499.59,19522.51,19490.7,19532.93,19511.98,19492.77,19433.09,19451.5,19449.73,19459.19,19426.57,19412.56,19432.59,19433.4,19381.64,19395.3,19380.62,19407.92,19384.79,19386.1,19421.92,19440.48,19484.17,19396.16,19435.17,19347.74,19420.52,19444.42,19437.68,19347.22,19397.77,19405.67,19451.44,19375.76,19417.32,19392.17,19363.84,19550.65,19231.95,19350.99,19382.76,19445.94,19316.83,19335.87,19385.08,19414.36,19421.62,19301.74,19350.55,19329.85,19421.13,19303.45,19392.24,19382.46,19414.35,19388.62,19379.93,19336.65,19383.75,19387.62,19429.39,19424.31,19493.66,19408.84,19371.65,19387.72,19390.36,19300.51,19416.81,19353.98,19353.09,19455.46,19366.56,19305.8,19305.5,19430.39,19464.88,19403.87,19341.99,19344.7,19308.81,19303.68,19299.72,19303.09,19306.98,19370.53
22100.2,19571.34,19248.58,18927.28,18706.57,18495.43,18280.63,18200.39,18008.67,18087.68,17955.16,18030.94,18066.19,18040.56,18027.03,17910.47,17915.07,17916.04,17770.95,17815.78,17686.97,17794.67,17722.88,17585.42,17653.57,17535.61,17642.73,17849.39,17664.41,17667.42,17680.75,17740.72,17495.15,17542.3,17540.5,17657.08,17814.89,17580.66,17614.69,17590.35,17675.78,17851.29,17629.79,17480.9,17603.73,17777.01,17719.6,17584.76,17751.16,17641.55,17600.76,17695.43,17657.15,17679.3,17760.56,17695.03,17681.68,17836.36,17948.26,17704.03,17813.12,17649.99,17687.55,17584.15,17727.5,17889.3,17720.32,17668.7,17677.05,17704.26,17532.12,17667.62,17641.93,17536.38,17756.88,17668.54,17606.78,17711.5,17717.64,17832.49,17698.03,17660.27,17665.45,17692.05,17505.23,17589.42,17665.07,17725.47,17622.34,17785.3,17748.97,17636.22,17759.54,17662.59,17694.37,17580.56,17722.88,17788.71,17750.18,17707.65
