1,2,3,4,5
1,2,3,4,5
198943.67,201216.07,205311.51,207722.98,211932.25
272167.5073,296270.5189,341382.8225,245098.9245,317148.8402
180127.48,180127.48,180127.48,180127.48,180127.48
199631.96,199631.96,199631.96,199631.96,199631.96
127658.97,124865.58,126138.55,126167.61,128556.34
183999.5741,178864.4837,165029.9248,167472.7557,174897.6126
111040.39,111040.39,111040.39,111040.39,111040.39
123006.7,123006.7,123006.7,123006.7,123006.7
75189.96,77449.52,79101.95,81168.63,81168.63
108295.9144,83642.408,75296.64497,76225.11177,77183.45298
57861.02,57861.02,57861.02,57861.02,57861.02
66722.06,66722.06,66722.06,66722.06,66722.06
838290.24,842591.69,857530.28,894249.21,899123.21
890552.5574,935452.0469,995075.3894,1079017.344,1277024.264
810468.93,810468.93,810468.93,810468.93,810468.93
846760.32,846760.32,846760.32,846760.32,846760.32
